,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65b3899a8445eeb9276a3acf,5,I really enjoyed the experience,I really enjoyed the experience. Hoping for more.,2024-01-26T12:29:47.000Z,"January 26, 2024",micai,2,PH,https://www.trustpilot.com/reviews/65b3899a8445eeb9276a3acf,https://www.trustpilot.com/users/656089bdf238fa00122e146e
65b389800c74109c5dab4741,5,so great,so great! may u have more opportunities!!!!,2024-01-26T12:29:20.000Z,"January 25, 2024",ashwin lasqeen,2,PH,https://www.trustpilot.com/reviews/65b389800c74109c5dab4741,https://www.trustpilot.com/users/65b3894837269b001289063b
65b38920046bf77afbab0c33,5,It so awesome!!!,,2024-01-26T12:27:45.000Z,"January 26, 2024",Rose Fey Silla,1,PH,https://www.trustpilot.com/reviews/65b38920046bf77afbab0c33,https://www.trustpilot.com/users/65b3890f7f369e0011799aea
65b3888a4e9ef6cee39a6018,5,Amazing music platfrom to hear it,Amazing music platfrom to hear it . Awesome <3,2024-01-26T12:25:14.000Z,"January 25, 2024",minh đức,6,VN,https://www.trustpilot.com/reviews/65b3888a4e9ef6cee39a6018,https://www.trustpilot.com/users/5f50aacf0996c30ce5c03f54
65b387a797c0431db5801cde,5,Honest review,"This project can be huge! Keep moving forward, go go go! ❤‍🔥",2024-01-26T12:21:27.000Z,"January 26, 2024",Dienatasya Laraswati,3,ID,https://www.trustpilot.com/reviews/65b387a797c0431db5801cde,https://www.trustpilot.com/users/6557a696292ae70012231627
65b3851d43e23f7721546ca8,5,It is great experience,,2024-01-26T12:10:38.000Z,"January 26, 2024",Uniporn Aya,1,ID,https://www.trustpilot.com/reviews/65b3851d43e23f7721546ca8,https://www.trustpilot.com/users/65b38513549e0300120560fb
65b384a4a68858e0162da56b,5,i have a nice experience with this…,i have a nice experience with this thank you,2024-01-26T12:08:36.000Z,"January 18, 2024",Jena,1,ID,https://www.trustpilot.com/reviews/65b384a4a68858e0162da56b,https://www.trustpilot.com/users/65b3847df7ea3e001298315a
65b3849d05b695ae6bb34e36,5,Such a wonderful experience with this!,,2024-01-26T12:08:29.000Z,"January 26, 2024","Fermin, Alyssa Niña",1,PH,https://www.trustpilot.com/reviews/65b3849d05b695ae6bb34e36,https://www.trustpilot.com/users/65b3848c549e030012056082
65b384454e92c2c98df83694,5,it is a great view through the world…,it is a great view through the world would be spread.,2024-01-26T12:07:02.000Z,"January 24, 2024",sudip,1,BD,https://www.trustpilot.com/reviews/65b384454e92c2c98df83694,https://www.trustpilot.com/users/65b383fd7f369e0011799712
65b3834ccb445a5a9327b844,5,Amazing site,,2024-01-26T12:02:52.000Z,"January 26, 2024",Abdul Emte,6,ID,https://www.trustpilot.com/reviews/65b3834ccb445a5a9327b844,https://www.trustpilot.com/users/629e1efc84677800135154aa
