place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,204c5d0eabd75a2c5fccc55aea98718e,4,"The music and venue were GREAT!!!! The people FANTASTIC!!! However, the surrounding neighborhood isnt safe... Tonight my car was broken into... which ruined the evening... Unfortunately, I learned vehicle break ins of this nature are common.",4 years ago,2020-03-29 13:03:52.209886,So sorry to hear!,4 years ago,2020-03-29 13:03:52.209886,1,7,8,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,bb3c49d469301226e10fd36955e5c3bf,5,Love this spot. Always great local acts.,4 years ago,2020-03-29 13:03:52.211723,,,,0,29,38,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,d8bed01229190dbfa6a17bdba2acffed,5,Great place for music!,4 years ago,2020-03-29 13:03:52.763324,,,,0,19,11,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,5f294bd4428e67579ba502dc2423c9a9,5,,4 years ago,2020-03-29 13:03:52.767066,,,,0,35,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,de451d8dbf9a41c1654e4b0d59ada125,5,,4 years ago,2020-03-29 13:03:52.769835,,,,0,2,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,c4d2305d5f25b6c33c9f8353e5d041d3,5,,4 years ago,2020-03-29 13:03:52.772172,,,,0,7,6,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,030ca8ffba1db902ed7fc81e25cff70c,5,"I loved this place! Great atmosphere with live jazz music! Mature crowd, a perfect place to take your lady. Customer service was professional and welcoming. Definitely will be coming back with my wife who also enjoyed the experience.",4 years ago,2020-03-29 13:03:52.774655,,,,0,12,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,e3f6f0a01d18d5c67c7f57687b041a6a,5,"As a fan of chamber music played in environments like this one I visited the sound room tonight for the first time. Classical music in a Jazz place? You bet! What a nice surprise. The music program was spectacular, the food amazing (-ly affordable), super healthy and super tasty (we had veggie tacos and capresadilla - mmmmmh), and the beers a blast. I ll be back!",4 years ago,2020-03-29 13:03:52.777316,Thank you!,4 years ago,2020-03-29 13:03:52.777316,1,30,6,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,4ebcda1cdba13c8309a53a738763f100,5,,4 years ago,2020-03-29 13:03:52.779815,,,,0,41,,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,6a7a7dfb26d7c468d3a76729eb30c309,5,,4 years ago,2020-03-29 13:03:52.781942,,,,0,139,132,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,4179af062772a93d7f7cd7dbd885956e,5,,4 years ago,2020-03-29 13:03:52.784213,,,,0,5,34,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,cae94f178d5e7dd58c51e80a6fc8b76c,5,Good beer great music.,4 years ago,2020-03-29 13:03:52.786299,,,,0,34,2,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,00ccd72ee2f23c6a162de9b3947de2a4,5,Cozy set...small venue.  Tasty food,4 years ago,2020-03-29 13:03:53.277664,,,,0,107,128,True,,
